id,joke,label
0,并不是说我害怕死。当它发生时我只是不想在那里。,1
1,我可以在拥挤的消防站里大喊电影吗？,1
2,切勿从前方接近公牛，从后方接近马或从任何方向接近傻瓜。,1
3,如果我早点开枪，我现在就要出狱了。,1
4,当有人不耐烦地说：“我一整天都没有”，我一直在想，怎么会这样？你怎么不一整天都没有？,0
5,对不起孩子，爸爸爱你，但爸爸也喜欢电视，平心而论电视是第一位的。,1
6,能说多种语言的人并不一定比能听一种语言的人更有价值。,1
7,如果你没有像大象这样的记忆，那就留下像这样的记忆。,1
8,老师常说：“知识就是力量！” 我相信这句话是很实用的，因为有一次我和班里一男生打架，顺手拿起一本厚厚的《辞海》，一下子就把他打倒了。,1
9,我有一张存在主义的地图，它在这里写着“你在这里”。,0
10,东奔西跑，不如虚构报表。,1
11,你小时候一定很有天赋。没有人会为你付钱。,0
12,气缸磨损并失去压缩，使得难以爬上最轻微的倾斜。,0
13,有一个神经病人天天再空鱼缸前钓鱼。 有一次，护士开玩笑地说：“今天钓几条啊？” 神经病人愤怒地说：“你脑子有病啊，没看到这是空鱼缸啊！”,1
14,钓鱼和站在岸边之间有一条细线看起来像个白痴。,1
15,牧师：夫人，你知道上帝为什么让您活到92岁吗？ 夫人：我想，他可能是在考验我的亲属们的耐心。,1
16,问：布莱克浦海滩上的驴子吃什么？,1
17,银幕上正映着热烈求爱的镜头，男明星在表演他的拿手好戏。 妻子轻轻推他的丈夫说：“你就没有这样爱过我，为什么？” 丈夫答道，“你知道人家拿多少薪水吗？”,1
18,理发师边帮客人修脸边聊天，聊得正起劲不注意把客人眉毛剃去一边。理发师问：您的眉毛是否要留？ 客人：要留！ 理发师：唉呀！怎么不早说，已经剃去一边了！,1
19,公交车上，一漂亮mm遭色狼骚扰，忍无可忍，回头大吼一声：“你挤个jb！”全车鸦雀无声，色狼也愣了，沉默两秒钟，怯怯地说：“一个”,1
20,小明：“有件事得求你。” 亮亮：“说吧！” 小明：“以后人多的时候别管我叫爸， 这会让我产生苍老感，就改口叫叔吧！”,1
21,睡眠是一门艺术--谁也无法阻挡我追求艺术的脚步！,1
22,某晚，一刺客潜入包拯大人房中，欲进行刺杀，掀起被子，却发现床上无人，遂以为阴谋被发现，大惊，夺门而出。 片刻后，只听房中传出包大人语：幸亏我习惯裸睡……,1
23,吃你喜欢的东西，让食物在里面打斗。,1
24,要不是老师说不准骗人，你现在还是挺美丽的。,1
25,记住黄金法则：拥有黄金的人制定规则。,0
26,所有五秒钟的手榴弹保险丝都会在三秒钟内烧毁。,1
27,老师：‘恰巧’一词怎么解释？ 学生：是凑巧同时发生的意思。 老师：举一个例子来说明。 学生：爸爸和妈妈恰巧在同一天结婚。,1
28,宿舍姐妹早上起来干呕，我对‍她说小心点哦，可别怀孕了。 她华丽丽的来了句：“连个男人都没有，难道我怀的是香蕉黄瓜的孩子？”,1
29,你若先走了，转身时就不要怪我也在背对着你。,1
30,我很想改变世界，但他们不会给我源代码。,1
31,如果你被这样的冒犯，请不要阅读笑话或订阅邮件列表。,0
32,有时我们不会想你。和它一起生活。,0
33,看见诸葛亮的草船曹冲不慌不忙算出了诸葛亮的体重。,1
34,大学大学，大概学学。,1
35,当你恋爱时，你会受到陌生人的摆布。,0
36,黄球迷：请问你们队为何规定晚上11点钟关门，而不是10点半呢？ 傻教练：因为我们球队门口那家歌舞厅要10点半才关门，我当然要留半个小时的走路时间给队员。,1
37,这片吐司将果冻面朝下的可能性与地毯的价值成正比。,1
38,我的妻子非常瘦，她可以用花园水管踩水。,1
39,我听说他们要制作一部关于新芬党领袖格里亚当斯的传记电影。,0
40,学生要求这些，并吞下它们，并对这些科目有新的认识。,0
41,如果在小便时灼伤，请务必携带灭火器。,0
42,若有来世，我要生在国庆节，死在清明节。我生的时候，普天同乐；我死的时候，全世界都在悲伤。,1
43,我不能抱怨，但有时我仍然这样做。,0
44,外星人长什么样？ 答：他的眼睛像眼睛哥哥，鼻子像河马，嘴巴像我妈妈，耳朵像鬼。 外星人头上戴一个玻璃罩，里面能放鱼的。,1
45,一天晚上十点半，丈夫跟踪妻子，一举将妻子和那个正在苟合的男人擒拿后，大骂：你TMD，以为老子看不懂那短信呀?倒过来读就 是“十点半我帮你脱胸罩”！,1
46,吵架吵不过老婆，所以每次吵架完毕后，我都会偷偷把老婆的电子体重称调高1公斤！,1
47,年轻人坐进计程车，发现计程司机是个女的，立刻决定开个小玩笑，他说：送我到城里最便宜的一家妓院去。先生，计程女司机回答：你已经在里面了!,1
